,base_of_brightest_echo,height_of_brightest_echo,brightest_ref,average_echo,average_echo_depth,mean_velocity,mean_Turbulence,lowest_elevation_ref,datetime
120,0.2981673329325177,1.9082242034294483,32.5,32.01916705502753,1.6100568704969307,0.06508534694451064,1.6327815575471583,32.0,2021-08-04 23:00:00
121,0.2981673329325177,1.9082242034294483,33.0,30.839687608842567,1.6100568704969307,0.0686135873275421,1.601022771426927,33.0,2021-08-04 23:10:00
122,0.2981673329325177,1.9082242034294483,30.5,28.874892290830985,1.6100568704969307,0.080257688190096,1.483016055831299,28.0,2021-08-04 23:20:00
123,0.2981673329325177,1.9082242034294483,22.5,21.576416297321526,1.6100568704969307,0.09392561222071849,1.204431245350162,21.5,2021-08-04 23:30:00
124,0.2981673329325177,1.9082242034294483,13.0,11.837589688894955,1.6100568704969307,0.1035992769940713,1.0,13.0,2021-08-04 23:40:00
125,0.2981673329325177,1.9082242034294483,13.0,10.204170769156502,1.6100568704969307,0.08177221525157997,1.287983710275424,5.5,2021-08-04 23:50:00
126,1.9082242034294483,1.9082242034294483,10.0,8.06803245718176,1.6100568704969307,0.0661761626133213,1.1540656339531712,4.5,2021-08-05 00:00:00
127,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 00:10:00
128,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 00:20:00
129,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 00:30:00
130,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 00:40:00
131,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 00:50:00
132,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 01:00:00
133,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 01:10:00
134,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 01:20:00
135,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 01:30:00
136,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 01:40:00
137,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 01:50:00
138,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 02:00:00
139,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 02:10:00
140,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 02:20:00
141,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 02:30:00
142,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 02:40:00
143,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 02:50:00
144,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 03:00:00
145,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 03:10:00
146,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 03:20:00
147,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 03:30:00
148,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 03:40:00
149,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 03:50:00
150,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 04:00:00
151,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 04:10:00
152,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 04:20:00
153,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 04:30:00
154,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 04:40:00
155,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 04:50:00
156,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 05:00:00
157,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 05:10:00
158,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 05:20:00
159,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 05:30:00
160,-1.0,-1.0,,,0.0,0.07619141884377846,1.0,-32.0,2021-08-05 05:40:00
161,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 05:50:00
162,0.2981673329325177,0.2981673329325177,7.0,6.75719160794206,0.0,0.08679978491352552,1.0397186646191348,7.0,2021-08-05 06:00:00
163,0.2981673329325177,0.2981673329325177,22.0,19.596827860470214,1.6100568704969307,0.06997604103717348,1.2051212598412937,19.0,2021-08-05 06:10:00
164,0.2981673329325177,0.2981673329325177,26.0,24.51695395609257,1.6100568704969307,0.12777828583040254,1.5027493083703003,26.0,2021-08-05 06:20:00
165,0.2981673329325177,0.2981673329325177,30.0,27.569744210318667,1.6100568704969307,0.10891128169885922,1.261781165942558,30.0,2021-08-05 06:30:00
166,0.2981673329325177,1.9082242034294483,20.5,19.877178959898036,1.6100568704969307,0.11998670708325009,1.340194557653443,20.5,2021-08-05 06:40:00
167,0.2981673329325177,1.9082242034294483,22.5,20.38857785450132,1.6100568704969307,0.14998810543492844,1.3316416160064366,22.0,2021-08-05 06:50:00
